,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle
3133,3133,technosat,42829,59563.40975716431,2459563.9097571643,-6113.955610353273,-3358.8201590795634,12.910380477496886
3134,3134,technosat,42829,59563.54394028941,2459564.0439402894,-6106.576187756694,-3372.366420527352,12.892879021049872
3135,3135,technosat,42829,59563.54394028941,2459564.0439402894,-6106.576187756694,-3372.366420527352,12.892879021049872
3136,3136,technosat,42829,59564.14776469907,2459564.647764699,-6073.029933526708,-3433.1036978636243,12.830023548215568
3137,3137,technosat,42829,59564.61740582157,2459565.1174058216,-6046.522004985498,-3480.1074288236427,12.773614208622227
3138,3138,technosat,42829,59564.61740582157,2459565.1174058216,-6046.522004985498,-3480.1074288236427,12.773614208622227
3139,3139,technosat,42829,59564.88577221055,2459565.3857722105,-6031.20593003784,-3506.8779847934825,12.740994805427212
3140,3140,technosat,42829,59565.019955370575,2459565.5199553706,-6023.504548042825,-3520.245911867521,12.723363010053248
3141,3141,technosat,42829,59565.35541299777,2459565.855412998,-6004.122378773117,-3553.5686872738183,12.693491147847546
3142,3142,technosat,42829,59565.623779155314,2459566.123779156,-5988.478903480615,-3580.15265048813,12.651656792157569
3143,3143,technosat,42829,59565.89214519691,2459566.392145197,-5972.716797802128,-3606.66523390763,12.622516697857096
3144,3144,technosat,42829,59566.09341967572,2459566.593419676,-5960.8203527542655,-3626.5102593301694,12.592554548036404
3145,3145,technosat,42829,59566.428877013735,2459566.9288770137,-5940.846147481522,-3659.4861055896768,12.556462819573934
3146,3146,technosat,42829,59566.56305983802,2459567.063059838,-5932.8057894965,-3672.6410027548495,12.536916450978389
3147,3147,technosat,42829,59566.630151249934,2459567.13015125,-5928.770070753862,-3679.2224732276127,12.53253567311154
3148,3148,technosat,42829,59566.898516909685,2459567.3985169097,-5912.570899540927,-3705.473770964853,12.498465807264068
3149,3149,technosat,42829,59567.16688248841,2459567.6668824884,-5896.256323215108,-3731.6539230565386,12.466451660907438
3150,3150,technosat,42829,59567.502339467406,2459568.0023394674,-5875.702952482898,-3764.261357211876,12.428843257489676
3151,3151,technosat,42829,59567.5694308565,2459568.0694308565,-5871.563499571735,-3770.779522631813,12.419127132723798
3152,3152,technosat,42829,59567.5694308565,2459568.0694308565,-5871.563499571735,-3770.779522631813,12.419127132723798
3153,3153,technosat,42829,59567.83779585641,2459568.3377958564,-5854.95342203907,-3796.7767389017913,12.375389373112448
3154,3154,technosat,42829,59568.17325229151,2459568.6732522915,-5834.033517461597,-3829.1682602994447,12.329287379713575
3155,3155,technosat,42829,59568.50870833313,2459569.008708333,-5812.932257244453,-3861.439482850521,12.305977193426475
3156,3156,technosat,42829,59568.57579988428,2459569.0757998843,-5808.693017341709,-3867.881922646087,12.279364114456031
3157,3157,technosat,42829,59568.84416474542,2459569.3441647454,-5791.654373369911,-3893.601146596076,12.247361301118705
3158,3158,technosat,42829,59568.84416474542,2459569.3441647454,-5791.654373369911,-3893.601146596076,12.247361301118705
3159,3159,technosat,42829,59569.11252959492,2459569.612529595,-5774.501656502063,-3919.2444157780833,12.220006983322012
3160,3160,technosat,42829,59569.515076666605,2459570.0150766666,-5748.557962810071,-3957.559494288711,12.17424870053663
3161,3161,technosat,42829,59569.58216800913,2459570.082168009,-5744.210179172719,-3963.9290590376695,12.152550221570468
3162,3162,technosat,42829,59569.58216800913,2459570.082168009,-5744.210179172719,-3963.9290590376695,12.152550221570468
3163,3163,technosat,42829,59569.8505326272,2459570.350532627,-5726.742985648555,-3989.3621674283354,12.118168791554895
