,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
149,glonass-105,32276,58934.80256682867,2458935.3025668287,13015.835741625262,-3308.7634283247967,-21662.46057290843,13016.352653343094,-3308.9851954895485,-21663.766069921403
150,glonass-105,32276,58935.105055787135,2458935.605055787,-22416.003515155342,-10332.345923269084,6551.929280405519,-22415.821704063073,-10335.109181176267,6547.668199022127
151,glonass-105,32276,58935.503135046456,2458936.0031350465,-12273.058744118101,3959.9719876045965,22029.892965018695,-12275.783806199646,3956.8927903949857,22028.03755701788
152,glonass-105,32276,58935.63424443267,2458936.1342444327,-16253.068075722904,-15963.737078493883,-11515.06693038576,-16252.88111260204,-15964.775172983125,-11516.026567441273
153,glonass-105,32276,58936.47473239573,2458936.9747323957,-19131.279262436423,-3044.7129453010175,16635.868848185914,-19131.925956891788,-3045.6642773069507,16634.371470473958
154,glonass-105,32276,58936.5716879745,2458937.0716879745,-16482.549454974247,-15937.715773945949,-11221.664366296514,-16482.71754441145,-15938.833072153271,-11222.44129396216
155,glonass-105,32276,58937.45145019656,2458937.9514501966,-22430.65565268968,-10317.690811480774,6524.409766641657,-22430.880154868017,-10320.7654193988,6520.586464669763
156,glonass-105,32276,58937.5123660299,2458938.01236603,-16045.01707300436,-15960.83977595666,-11806.546410345889,-16042.815307345496,-15962.20501853846,-11810.300481698949
157,glonass-105,32276,58937.93859038176,2458938.4385903818,-22008.12822336149,-12909.219562326094,1037.5992103447036,-22007.47477196643,-12911.837544487847,1035.6045942666133
158,glonass-105,32276,58938.51003702544,2458939.0100370254,-121.9342374576619,-11837.829433683104,-22590.015705142094,-121.95807325353766,-11839.133766012888,-22591.058545336782
159,glonass-105,32276,58938.98314737249,2458939.4831473725,1031.1960494220689,-11269.722301841453,-22854.166547502395,1027.6755116029183,-11270.448745882808,-22855.897192667693
160,glonass-105,32276,58939.45689953724,2458939.9568995372,2373.9930160418708,-10569.516237257269,-23085.644802744995,2371.6203188494046,-10571.843352514563,-23086.64078321942
161,glonass-105,32276,58939.93423170131,2458940.4342317013,4764.703749274443,-9218.10814250957,-23290.94969617037,4761.653668190507,-9220.72326623516,-23292.449236913908
162,glonass-105,32276,58940.40303733805,2458940.903037338,4628.989905937989,-9298.382268479123,-23286.626420049644,4625.861759846974,-9300.872925160338,-23288.160455075147
163,glonass-105,32276,58941.1307279747,2458941.6307279747,-11360.30990248077,4721.9953757594385,22365.24614700681,-11360.29755925448,4721.474985435068,22363.97865411487
164,glonass-105,32276,58941.600268634036,2458942.100268634,-11432.894256698964,4666.348186376244,22338.998355393906,-11431.215719495949,4667.555669307779,22339.09481556439
165,glonass-105,32276,58942.30137556698,2458942.801375567,10615.797141685993,-5283.775381936391,-22564.963633406845,10613.691265061394,-5286.306519633362,-22567.103308235575
166,glonass-105,32276,58942.53570327535,2458943.0357032754,-10622.6199100663,5296.9625953728155,22596.513348336885,-10622.676760123055,5296.298134614453,22595.267271936016
167,glonass-105,32276,58942.77284688642,2458943.2728468864,11195.837468928588,-4838.750974810925,-22382.974490438835,11196.450100367329,-4839.190168357562,-22384.4456956929
168,glonass-105,32276,58943.718254965264,2458944.2182549653,12939.589121549876,-3425.2988668876224,-21690.862148309836,12937.476284977387,-3427.8067856265666,-21693.381961826697
